City,Feedback
Delhi,The branch staff were helpful and polite. Super smooth experience.
Chennai,Got charged extra fees without explanation. Will not use again.
Delhi,App crashes during payments. Still not fixed after 3 days.
Delhi,"Loan approved quickly, very satisfied! Process was confusing at first."
Mumbai,The branch staff were helpful and polite. Highly recommend it.
Chennai,Got charged extra fees without explanation. Still not fixed after 3 days.
Lucknow,The branch staff were helpful and polite. Still not fixed after 3 days.
Chennai,Charges on international payments are too high. Still not fixed after 3 days.
Hyderabad,Got charged extra fees without explanation. They resolved it quickly.
Lucknow,"Customer service responded quickly. Overall, I hope it improves."
Bangalore,Charges on international payments are too high. Process was confusing at first.
Pune,Customer service responded quickly. Will not use again.
Chennai,Account opening was simple but incomplete info. Needs better support.
Delhi,I faced a lot of trouble with loan processing. Process was confusing at first.
Delhi,Credit card limit is too low even after requests. Needs better support.
Lucknow,"Customer service responded quickly. Overall, I hope it improves."
Ahmedabad,Customer support was slow and unclear. Highly recommend it.
Hyderabad,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Kolkata,Credit card rewards are useful for shopping. Needs better support.
Lucknow,Got charged extra fees without explanation. Highly recommend it.
Mumbai,App crashes during payments. Waiting time was terrible.
Kolkata,I faced a lot of trouble with loan processing. Waiting time was terrible.
Delhi,"Opened my account online, the process was smooth. Super smooth experience."
Ahmedabad,App crashes during payments. Needs better support.
Bangalore,Credit card limit is too low even after requests. Needs better support.
Chennai,App crashes during payments. Super smooth experience.
Delhi,"Loan approved quickly, very satisfied! Will not use again."
Jaipur,Charges on international payments are too high. Waiting time was terrible.
Bangalore,Had to visit branch multiple times for one task. Process was confusing at first.
Kolkata,Support team transferred my call repeatedly. Still not fixed after 3 days.
Chennai,App crashes during payments. Needs better support.
Mumbai,"Got charged extra fees without explanation. Overall, I hope it improves."
Pune,"Opened my account online, the process was smooth. Super smooth experience."
Delhi,Got charged extra fees without explanation. Needs better support.
Chennai,App crashes during payments. They resolved it quickly.
Hyderabad,Support team transferred my call repeatedly. They resolved it quickly.
Bangalore,Customer service responded quickly. Will not use again.
Chennai,Charges on international payments are too high. Still not fixed after 3 days.
Jaipur,Customer service responded quickly. Process was confusing at first.
Lucknow,"Opened my account online, the process was smooth. Needs better support."
Chennai,The app works fine but sometimes crashes. Still not fixed after 3 days.
Ahmedabad,"I faced a lot of trouble with loan processing. Overall, I hope it improves."
Delhi,The app works fine but sometimes crashes. Will not use again.
Hyderabad,"Loan approved quickly, very satisfied! Highly recommend it."
Hyderabad,"Opened my account online, the process was smooth. They resolved it quickly."
Jaipur,Customer service responded quickly. Still not fixed after 3 days.
Mumbai,App crashes during payments. Highly recommend it.
Jaipur,Account opening was simple but incomplete info. Super smooth experience.
Pune,I faced a lot of trouble with loan processing. Super smooth experience.
Hyderabad,The app works fine but sometimes crashes. They resolved it quickly.
Mumbai,Charges on international payments are too high. Super smooth experience.
Jaipur,Account opening was simple but incomplete info. Will not use again.
Jaipur,Support team transferred my call repeatedly. Highly recommend it.
Kolkata,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Lucknow,Got charged extra fees without explanation. Will not use again.
Pune,Account opening was simple but incomplete info. Will not use again.
Jaipur,Account opening was simple but incomplete info. Still not fixed after 3 days.
Mumbai,"Loan approved quickly, very satisfied! Needs better support."
Ahmedabad,The branch staff were helpful and polite. Highly recommend it.
Pune,Support team transferred my call repeatedly. Super smooth experience.
Chennai,The branch staff were helpful and polite. Waiting time was terrible.
Lucknow,I faced a lot of trouble with loan processing. Highly recommend it.
Ahmedabad,Credit card rewards are useful for shopping. Highly recommend it.
Jaipur,Account opening was simple but incomplete info. Will not use again.
Bangalore,App crashes during payments. They resolved it quickly.
Jaipur,The app works fine but sometimes crashes. Super smooth experience.
Jaipur,Credit card rewards are useful for shopping. Process was confusing at first.
Chennai,Support team transferred my call repeatedly. Still not fixed after 3 days.
Chennai,Charges on international payments are too high. Super smooth experience.
Hyderabad,App crashes during payments. Needs better support.
Ahmedabad,Support team transferred my call repeatedly. Still not fixed after 3 days.
Ahmedabad,I faced a lot of trouble with loan processing. Waiting time was terrible.
Chennai,I faced a lot of trouble with loan processing. Needs better support.
Mumbai,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Chennai,"Loan approved quickly, very satisfied! Waiting time was terrible."
Mumbai,"I faced a lot of trouble with loan processing. Overall, I hope it improves."
Chennai,"I faced a lot of trouble with loan processing. Overall, I hope it improves."
Pune,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Chennai,Customer service responded quickly. They resolved it quickly.
Chennai,Customer support was slow and unclear. Will not use again.
Lucknow,"Loan approved quickly, very satisfied! They resolved it quickly."
Chennai,Account opening was simple but incomplete info. They resolved it quickly.
Hyderabad,Got charged extra fees without explanation. Highly recommend it.
Delhi,App crashes during payments. Process was confusing at first.
Pune,"Opened my account online, the process was smooth. Process was confusing at first."
Ahmedabad,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Delhi,The branch staff were helpful and polite. Process was confusing at first.
Pune,Account opening was simple but incomplete info. Highly recommend it.
Chennai,Got charged extra fees without explanation. Waiting time was terrible.
Jaipur,Had to visit branch multiple times for one task. Will not use again.
Hyderabad,The app works fine but sometimes crashes. Super smooth experience.
Ahmedabad,Got charged extra fees without explanation. Highly recommend it.
Ahmedabad,Account opening was simple but incomplete info. Still not fixed after 3 days.
Delhi,The branch staff were helpful and polite. Still not fixed after 3 days.
Mumbai,I faced a lot of trouble with loan processing. Waiting time was terrible.
Bangalore,"Opened my account online, the process was smooth. They resolved it quickly."
Ahmedabad,Got charged extra fees without explanation. Process was confusing at first.
Mumbai,The app works fine but sometimes crashes. Process was confusing at first.
Mumbai,"Opened my account online, the process was smooth. Super smooth experience."
Ahmedabad,Customer service responded quickly. Process was confusing at first.
Jaipur,App crashes during payments. They resolved it quickly.
Bangalore,Got charged extra fees without explanation. Super smooth experience.
Chennai,The branch staff were helpful and polite. Still not fixed after 3 days.
Mumbai,Charges on international payments are too high. Needs better support.
Mumbai,The branch staff were helpful and polite. They resolved it quickly.
Jaipur,Support team transferred my call repeatedly. Still not fixed after 3 days.
Bangalore,The branch staff were helpful and polite. Still not fixed after 3 days.
Delhi,Credit card rewards are useful for shopping. Will not use again.
Delhi,"Loan approved quickly, very satisfied! Highly recommend it."
Chennai,"Opened my account online, the process was smooth. Highly recommend it."
Lucknow,"Got charged extra fees without explanation. Overall, I hope it improves."
Lucknow,I faced a lot of trouble with loan processing. Process was confusing at first.
Lucknow,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Pune,Support team transferred my call repeatedly. Super smooth experience.
Chennai,App crashes during payments. Needs better support.
Chennai,Customer service responded quickly. Process was confusing at first.
Bangalore,App crashes during payments. Super smooth experience.
Ahmedabad,Credit card limit is too low even after requests. Highly recommend it.
Mumbai,Had to visit branch multiple times for one task. Highly recommend it.
Delhi,Customer support was slow and unclear. Waiting time was terrible.
Jaipur,Customer service responded quickly. Will not use again.
Pune,Support team transferred my call repeatedly. Highly recommend it.
Chennai,Credit card limit is too low even after requests. Super smooth experience.
Bangalore,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Kolkata,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Mumbai,App crashes during payments. Still not fixed after 3 days.
Kolkata,Support team transferred my call repeatedly. Highly recommend it.
Bangalore,Customer service responded quickly. Highly recommend it.
Delhi,Charges on international payments are too high. Still not fixed after 3 days.
Bangalore,Customer service responded quickly. Super smooth experience.
Lucknow,Got charged extra fees without explanation. Needs better support.
Chennai,App crashes during payments. Super smooth experience.
Jaipur,Had to visit branch multiple times for one task. Super smooth experience.
Mumbai,I faced a lot of trouble with loan processing. Process was confusing at first.
Kolkata,"The branch staff were helpful and polite. Overall, I hope it improves."
Pune,Account opening was simple but incomplete info. Will not use again.
Kolkata,The app works fine but sometimes crashes. They resolved it quickly.
Jaipur,Charges on international payments are too high. Process was confusing at first.
Jaipur,The branch staff were helpful and polite. Highly recommend it.
Delhi,Support team transferred my call repeatedly. Will not use again.
Jaipur,The branch staff were helpful and polite. Needs better support.
Lucknow,Customer support was slow and unclear. Will not use again.
Hyderabad,"The app works fine but sometimes crashes. Overall, I hope it improves."
Kolkata,"Credit card limit is too low even after requests. Overall, I hope it improves."
Pune,Got charged extra fees without explanation. Waiting time was terrible.
Delhi,Credit card limit is too low even after requests. Still not fixed after 3 days.
Hyderabad,"Loan approved quickly, very satisfied! Will not use again."
Chennai,Credit card rewards are useful for shopping. Will not use again.
Bangalore,Support team transferred my call repeatedly. Process was confusing at first.
Mumbai,The app works fine but sometimes crashes. Needs better support.
Hyderabad,Account opening was simple but incomplete info. Waiting time was terrible.
Kolkata,The app works fine but sometimes crashes. Highly recommend it.
Hyderabad,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Ahmedabad,Got charged extra fees without explanation. Waiting time was terrible.
Ahmedabad,Credit card limit is too low even after requests. Super smooth experience.
Chennai,"Got charged extra fees without explanation. Overall, I hope it improves."
Chennai,"Opened my account online, the process was smooth. Needs better support."
Kolkata,Credit card rewards are useful for shopping. Highly recommend it.
Kolkata,Credit card limit is too low even after requests. Still not fixed after 3 days.
Hyderabad,App crashes during payments. Still not fixed after 3 days.
Pune,The branch staff were helpful and polite. Highly recommend it.
Kolkata,The app works fine but sometimes crashes. Super smooth experience.
Mumbai,I faced a lot of trouble with loan processing. Process was confusing at first.
Pune,Charges on international payments are too high. Needs better support.
Hyderabad,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Delhi,"Opened my account online, the process was smooth. Waiting time was terrible."
Kolkata,The branch staff were helpful and polite. Process was confusing at first.
Mumbai,Customer support was slow and unclear. Still not fixed after 3 days.
Chennai,Credit card limit is too low even after requests. Process was confusing at first.
Delhi,App crashes during payments. Needs better support.
Lucknow,Credit card limit is too low even after requests. Highly recommend it.
Kolkata,Customer support was slow and unclear. Super smooth experience.
Hyderabad,Credit card limit is too low even after requests. Process was confusing at first.
Kolkata,Customer support was slow and unclear. Will not use again.
Chennai,"Opened my account online, the process was smooth. Process was confusing at first."
Bangalore,"Loan approved quickly, very satisfied! Super smooth experience."
Hyderabad,"Customer support was slow and unclear. Overall, I hope it improves."
Kolkata,Customer service responded quickly. Waiting time was terrible.
Hyderabad,Account opening was simple but incomplete info. Needs better support.
Ahmedabad,Had to visit branch multiple times for one task. They resolved it quickly.
Chennai,Customer support was slow and unclear. They resolved it quickly.
Bangalore,App crashes during payments. Highly recommend it.
Kolkata,Customer support was slow and unclear. Needs better support.
Delhi,Credit card rewards are useful for shopping. Waiting time was terrible.
Kolkata,Got charged extra fees without explanation. Waiting time was terrible.
Bangalore,"The branch staff were helpful and polite. Overall, I hope it improves."
Chennai,Had to visit branch multiple times for one task. Highly recommend it.
Ahmedabad,"Opened my account online, the process was smooth. Waiting time was terrible."
Hyderabad,Had to visit branch multiple times for one task. Process was confusing at first.
Chennai,"The app works fine but sometimes crashes. Overall, I hope it improves."
Delhi,Account opening was simple but incomplete info. Process was confusing at first.
Chennai,The app works fine but sometimes crashes. Still not fixed after 3 days.
Ahmedabad,The branch staff were helpful and polite. Still not fixed after 3 days.
Chennai,Support team transferred my call repeatedly. Highly recommend it.
Ahmedabad,The app works fine but sometimes crashes. They resolved it quickly.
Jaipur,Customer support was slow and unclear. Needs better support.
Ahmedabad,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Hyderabad,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Ahmedabad,Support team transferred my call repeatedly. Will not use again.
Ahmedabad,Had to visit branch multiple times for one task. Super smooth experience.
Chennai,Credit card rewards are useful for shopping. Super smooth experience.
Jaipur,Had to visit branch multiple times for one task. Waiting time was terrible.
Kolkata,Had to visit branch multiple times for one task. Highly recommend it.
Kolkata,Got charged extra fees without explanation. Super smooth experience.
Pune,Credit card limit is too low even after requests. Still not fixed after 3 days.
Delhi,The app works fine but sometimes crashes. Will not use again.
Chennai,"Opened my account online, the process was smooth. Will not use again."
Chennai,I faced a lot of trouble with loan processing. Process was confusing at first.
Hyderabad,Credit card limit is too low even after requests. Still not fixed after 3 days.
Ahmedabad,"Opened my account online, the process was smooth. Overall, I hope it improves."
Chennai,Credit card rewards are useful for shopping. Process was confusing at first.
Hyderabad,"Support team transferred my call repeatedly. Overall, I hope it improves."
Lucknow,"Opened my account online, the process was smooth. They resolved it quickly."
Mumbai,Credit card limit is too low even after requests. Super smooth experience.
Hyderabad,Credit card rewards are useful for shopping. Process was confusing at first.
Jaipur,Charges on international payments are too high. Still not fixed after 3 days.
Lucknow,Support team transferred my call repeatedly. Waiting time was terrible.
Ahmedabad,Got charged extra fees without explanation. Super smooth experience.
Hyderabad,"Had to visit branch multiple times for one task. Overall, I hope it improves."
Hyderabad,Credit card limit is too low even after requests. Process was confusing at first.
Bangalore,Credit card rewards are useful for shopping. They resolved it quickly.
Bangalore,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Mumbai,Support team transferred my call repeatedly. Process was confusing at first.
Lucknow,"Loan approved quickly, very satisfied! Overall, I hope it improves."
Delhi,App crashes during payments. Process was confusing at first.
Bangalore,Credit card rewards are useful for shopping. They resolved it quickly.
Bangalore,The branch staff were helpful and polite. Super smooth experience.
Hyderabad,Credit card limit is too low even after requests. Waiting time was terrible.
Ahmedabad,Credit card limit is too low even after requests. Needs better support.
Hyderabad,Customer service responded quickly. Process was confusing at first.
Kolkata,Credit card rewards are useful for shopping. Highly recommend it.
Ahmedabad,The branch staff were helpful and polite. Still not fixed after 3 days.
Mumbai,Credit card limit is too low even after requests. Waiting time was terrible.
Delhi,"Account opening was simple but incomplete info. Overall, I hope it improves."
Mumbai,Got charged extra fees without explanation. Waiting time was terrible.
Mumbai,"Loan approved quickly, very satisfied! Will not use again."
Chennai,The app works fine but sometimes crashes. They resolved it quickly.
Delhi,"Loan approved quickly, very satisfied! Waiting time was terrible."
Ahmedabad,Charges on international payments are too high. Super smooth experience.
Pune,The app works fine but sometimes crashes. Highly recommend it.
Bangalore,Customer service responded quickly. Highly recommend it.
Lucknow,The branch staff were helpful and polite. Super smooth experience.
Lucknow,App crashes during payments. Process was confusing at first.
Hyderabad,Charges on international payments are too high. Waiting time was terrible.
Delhi,"Loan approved quickly, very satisfied! Waiting time was terrible."
Delhi,Charges on international payments are too high. Super smooth experience.
Lucknow,Account opening was simple but incomplete info. Highly recommend it.
Lucknow,"Account opening was simple but incomplete info. Overall, I hope it improves."
Pune,Customer support was slow and unclear. Process was confusing at first.
